"file","id","group","description","defect","status","message","n_warnings","warnings","elapsed","outcome"
"00-fixtures","FX-01",NA,"seed ASA resolves",NA,"PASS",NA,0,NA,1.05245685577393,"pass"
"00-fixtures","FX-02",NA,"seed bank resolves",NA,"PASS",NA,0,NA,0.303295135498047,"pass"
"00-fixtures","FX-03",NA,"discover ENK sample",NA,"PASS",NA,0,NA,0.510832786560059,"pass"
"00-fixtures","FX-04",NA,"discover NUF sample",NA,"PASS",NA,0,NA,0.491394758224487,"pass"
"00-fixtures","FX-05",NA,"discover bankrupt sample",NA,"PASS",NA,0,NA,0.535438299179077,"pass"
"00-fixtures","FX-06",NA,"discover large Oslo AS sample",NA,"PASS",NA,0,NA,0.602869272232056,"pass"
"00-fixtures","FX-07",NA,"discover underenheter of seed",NA,"PASS",NA,0,NA,0.390751361846924,"pass"
"00-fixtures","FX-08",NA,"discover recently deleted org via CDC",NA,"PASS",NA,0,NA,15.8720738887787,"pass"
"00-fixtures","FX-09",NA,"discover recently created org via CDC",NA,"PASS",NA,0,NA,0.00332999229431152,"pass"
"00-fixtures","FX-10",NA,"discover org in a corporate group",NA,"PASS",NA,0,NA,2.31728291511536,"pass"
"00-fixtures","FX-11",NA,"discover org with no corporate group",NA,"PASS",NA,0,NA,0.395154237747192,"pass"
"00-fixtures","FX-12",NA,"discover org with registered prokura",NA,"PASS",NA,0,NA,0.384982585906982,"pass"
"00-fixtures","FX-13",NA,"discover org with entity-held role",NA,"PASS",NA,0,NA,0.188321113586426,"pass"
"00-fixtures","FX-14",NA,"seed holds legal roles elsewhere",NA,"PASS",NA,0,NA,0.48956298828125,"pass"
"00-fixtures","FX-15",NA,"CDC field-level sample available",NA,"PASS",NA,0,NA,0.834354639053345,"pass"
"10-validate","V-01",NA,"known valid orgnr accepted",NA,"PASS",NA,0,NA,0.000736236572265625,"pass"
"10-validate","V-02",NA,"bad check digit rejected",NA,"PASS",NA,0,NA,0.0181229114532471,"pass"
"10-validate","V-03",NA,"short input rejected",NA,"PASS",NA,0,NA,0.000597000122070312,"pass"
"10-validate","V-04",NA,"long input rejected",NA,"PASS",NA,0,NA,0.000703334808349609,"pass"
"10-validate","V-05",NA,"non-digit rejected",NA,"PASS",NA,0,NA,0.000895500183105469,"pass"
"10-validate","V-06",NA,"empty string rejected",NA,"PASS",NA,0,NA,0.0048518180847168,"pass"
"10-validate","V-07",NA,"NA rejected without error",NA,"PASS",NA,0,NA,0.000728845596313477,"pass"
"10-validate","V-08",NA,"NA_character_ rejected",NA,"PASS",NA,0,NA,0.00586152076721191,"pass"
"10-validate","V-09",NA,"vectorised over mixed input",NA,"PASS",NA,0,NA,0.000691890716552734,"pass"
"10-validate","V-10",NA,"numeric input coerced",NA,"PASS",NA,0,NA,0.000632762908935547,"pass"
"10-validate","V-11",NA,"zero-length input returns zero-length logical",NA,"PASS",NA,0,NA,0.000543117523193359,"pass"
"10-validate","V-12",NA,"result is unnamed",NA,"PASS",NA,0,NA,0.00499534606933594,"pass"
"10-validate","V-13",NA,"check digit 10 case rejected for every possible last digit",NA,"PASS",NA,0,NA,0.000839710235595703,"pass"
"10-validate","V-14",NA,"leading whitespace rejected",NA,"PASS",NA,0,NA,0.000695705413818359,"pass"
"10-validate","V-15",NA,"prefix rule does not reject mod-11-valid non-8/9 numbers","D-02","FAIL"," logi FALSE",0,NA,0.0809576511383057,"defect_confirmed"
"10-validate","V-16",NA,"agrees with independent mod-11 on 8/9 prefixed numbers",NA,"PASS",NA,0,NA,0.596934080123901,"pass"
"10-validate","V-17",NA,"large vector does not error",NA,"PASS",NA,0,NA,1.13987803459167,"pass"
"10-validate","V-18",NA,"factor input handled",NA,"PASS",NA,0,NA,0.000796794891357422,"pass"
"10-validate","V-19",NA,"list input errors rather than silently coercing",NA,"PASS",NA,0,NA,0.000633001327514648,"pass"
"10-validate","V-20",NA,"no side effects on the filesystem",NA,"PASS",NA,0,NA,0.000647068023681641,"pass"
"11-parse-internals","P-01",NA,"field_dict has the documented shape",NA,"PASS",NA,0,NA,0.00481081008911133,"pass"
"11-parse-internals","P-02",NA,"field_dict api_path values are unique",NA,"PASS",NA,0,NA,0.0161178112030029,"pass"
"11-parse-internals","P-03",NA,"field_dict col_name values are unique","D-90","FAIL"," logi FALSE",0,NA,0.00590753555297852,"defect_confirmed"
"11-parse-internals","P-03b",NA,"colliding api_paths do not silently discard one another's value","D-90","FAIL"," logi FALSE",0,NA,0.0135655403137207,"defect_confirmed"
"11-parse-internals","P-04",NA,"field_dict types are all coercible targets",NA,"PASS",NA,0,NA,0.0066375732421875,"pass"
"11-parse-internals","P-05",NA,"no two api_paths collapse to the same snake_case name","D-29","PASS",NA,0,NA,0.00514817237854004,"pass_unexpected"
"11-parse-internals","P-06",NA,"to_snake handles camelCase",NA,"PASS",NA,0,NA,0.000507831573486328,"pass"
"11-parse-internals","P-07",NA,"to_snake handles dot notation",NA,"PASS",NA,0,NA,0.0005950927734375,"pass"
"11-parse-internals","P-08",NA,"to_snake handles digit boundaries",NA,"PASS",NA,0,NA,0.000689983367919922,"pass"
"11-parse-internals","P-09",NA,"to_snake is idempotent",NA,"PASS",NA,0,NA,0.000638246536254883,"pass"
"11-parse-internals","P-10",NA,"flatten_json produces dot-notation keys",NA,"PASS",NA,0,NA,0.0023190975189209,"pass"
"11-parse-internals","P-11",NA,"flatten_json recurses past depth 2",NA,"PASS",NA,0,NA,0.00988888740539551,"pass"
"11-parse-internals","P-12",NA,"unnamed arrays are joined with the same separator as the bulk path","D-28","PASS",NA,0,NA,0.00161099433898926,"pass_unexpected"
"11-parse-internals","P-13",NA,"rename_from_dict emits only observed columns, not the full dictionary",NA,"PASS",NA,0,NA,0.00172519683837891,"pass"
"11-parse-internals","P-13b",NA,"every column rename_from_dict does emit is a real dictionary or passthrough name",NA,"PASS",NA,0,NA,0.00157546997070312,"pass"
"11-parse-internals","P-14",NA,"rename_from_dict drops nothing (zero-drop policy)","D-29","PASS",NA,0,NA,0.0037529468536377,"pass_unexpected"
"11-parse-internals","P-15",NA,"HAL links never reach the output",NA,"PASS",NA,0,NA,0.00537753105163574,"pass"
"11-parse-internals","P-16",NA,"coerce_types produces the declared classes for every emitted column",NA,"PASS",NA,0,NA,0.0127818584442139,"pass"
"11-parse-internals","P-17",NA,"parse_entity returns exactly one row",NA,"PASS",NA,0,NA,0.00729799270629883,"pass"
"11-parse-internals","P-18",NA,"parse_entities on heterogeneous payloads keeps a stable schema",NA,"PASS",NA,0,NA,0.0139820575714111,"pass"
"11-parse-internals","P-19",NA,"parse_entity is invariant to field order",NA,"PASS",NA,0,NA,0.0138740539550781,"pass"
"11-parse-internals","P-20",NA,"empty payload does not error",NA,"PASS",NA,0,NA,0.00553250312805176,"pass"
"11-parse-internals","P-21",NA,"clean bulk CSV parses",NA,"PASS",NA,0,NA,0.286993026733398,"pass"
"11-parse-internals","P-22",NA,"20 integer parse failures are reported as an attribute",NA,"PASS",NA,0,NA,0.0875740051269531,"pass"
"11-parse-internals","P-23",NA,"more than 20 integer parse failures do not abort the parse","D-27","ERROR","Tibble columns must have compatible sizes.
* Size 25: Existing data.
* Size 20: Column `actual`.
i Only values of size one are recycled.",0,NA,0.0813961029052734,"defect_confirmed"
"11-parse-internals","P-24",NA,"parse problem table rows equal the number of failures","D-27","PASS",NA,0,NA,0.0388243198394775,"pass_unexpected"
"11-parse-internals","P-25",NA,"flatten_cell on NULL yields NA",NA,"PASS",NA,0,NA,0.00516533851623535,"pass"
"11-parse-internals","P-26",NA,"flatten_cell on an empty data frame yields NA",NA,"PASS",NA,0,NA,0.000605583190917969,"pass"
"11-parse-internals","P-27",NA,"flatten_cell on a data frame yields valid JSON",NA,"PASS",NA,0,NA,0.0320444107055664,"pass"
"11-parse-internals","P-28",NA,"flatten_cell on a named list yields valid JSON",NA,"PASS",NA,0,NA,0.000999927520751953,"pass"
"11-parse-internals","P-29",NA,"flatten_cell is total over all-NULL lists",NA,"PASS",NA,0,NA,0.000666618347167969,"pass"
"11-parse-internals","P-30",NA,"drop_hal_links removes only link columns",NA,"PASS",NA,0,NA,0.00604534149169922,"pass"
"11-parse-internals","P-31",NA,"rename_and_coerce is case insensitive on api paths",NA,"PASS",NA,0,NA,0.00652027130126953,"pass"
"11-parse-internals","P-32",NA,"rename_and_coerce does not materialize fields absent from the batch",NA,"PASS",NA,0,NA,0.00203490257263184,"pass"
"11-parse-internals","P-32b",NA,"rename_and_coerce emits a field once observed anywhere in the batch",NA,"PASS",NA,0,NA,0.00205445289611816,"pass"
"11-parse-internals","P-33",NA,"extract_entity_name handles the jsonlite shape",NA,"PASS",NA,0,NA,0.000627756118774414,"pass"
"11-parse-internals","P-34",NA,"extract_entity_name handles the yyjsonr shape",NA,"PASS",NA,0,NA,0.000594854354858398,"pass"
"11-parse-internals","P-35",NA,"extract_entity_name handles unnamed lists",NA,"PASS",NA,0,NA,0.000611782073974609,"pass"
"11-parse-internals","P-36",NA,"extract_entity_name handles NULL",NA,"PASS",NA,0,NA,0.000545024871826172,"pass"
"11-parse-internals","P-37",NA,"flatten_roles produces the documented columns",NA,"PASS",NA,0,NA,0.0291874408721924,"pass"
"11-parse-internals","P-38",NA,"flatten_roles schema is invariant to fratraadt presence","D-09","FAIL"," logi FALSE",0,NA,0.00884699821472168,"defect_confirmed"
"11-parse-internals","P-39",NA,"flatten_roles handles more than 200 roles",NA,"PASS",NA,0,NA,0.152646780014038,"pass"
"11-parse-internals","P-40",NA,"flatten_roles person_id is stable across calls",NA,"PASS",NA,0,NA,0.0115156173706055,"pass"
"11-parse-internals","P-41",NA,"flatten_roles empty group yields a typed empty tibble","D-05","FAIL"," logi FALSE",0,NA,0.00208806991577148,"defect_confirmed"
"11-parse-internals","P-42",NA,"flatten_roles_bulk_fast matches flatten_roles",NA,"PASS",NA,0,NA,0.0167434215545654,"pass"
"11-parse-internals","P-43",NA,"bulk flatten produces identical person_id to the per-org flatten",NA,"PASS",NA,0,NA,0.0143637657165527,"pass"
"11-parse-internals","P-44",NA,"bulk flatten on zero entities yields typed empty","D-05","FAIL"," logi FALSE",0,NA,0.0013427734375,"defect_confirmed"
"11-parse-internals","P-45",NA,"lookup_role passes unknown codes through",NA,"PASS",NA,0,NA,0.000581741333007812,"pass"
"11-parse-internals","P-46",NA,"lookup_role_vec is vectorised and order preserving",NA,"PASS",NA,0,NA,0.000553369522094727,"pass"
"11-parse-internals","P-47",NA,"role_types codes are unique",NA,"PASS",NA,0,NA,0.000672340393066406,"pass"
"11-parse-internals","P-48",NA,"role_groups codes are unique",NA,"PASS",NA,0,NA,0.000597953796386719,"pass"
"11-parse-internals","P-49",NA,"legal_forms codes are unique",NA,"PASS",NA,0,NA,0.000660896301269531,"pass"
"11-parse-internals","P-50",NA,"annotation_infotypes codes are unique",NA,"PASS",NA,0,NA,0.000591754913330078,"pass"
"11-parse-internals","P-51",NA,"signature-mode role codes are present in role_types",NA,"PASS",NA,0,NA,0.000658035278320312,"pass"
